gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,AS03,Dragon Hunters,"web,mobile",en,TRUE,FALSE,Dragon Hunters,en
,,,,zh-cn,,,驯龙高手,zh-cn
slot,121,Rave Jump 2 M,web,zh-cn,TRUE,FALSE,直式跳起来2,zh-cn
,,,,en,,,Rave Jump 2 M,en
,,,,ko,,,레이브 점프 2 M,ko
,,,,pt-br,,,Rave Jump 2 M,pt-br
slot,124,Invincible Elephant,web,en,TRUE,FALSE,Elefante invencible,es
,,,,es,,,ช้างคงกระพัน,th
,,,,th,,,锁象无敌,zh-cn
,,,,zh-cn,,,Invincible Elephant,en
slot,125,Zeus M,web,pt-br,TRUE,FALSE,Zeus M,pt-br
